,Price,location
0,"$725,000","0 GatewayRock Springs, WY 82901"
1,"$452,900","1003 Winchester Blvd.Rock Springs, WY 82901"
2,"$396,900","600 TalladegaRock Springs, WY 82901"
3,"$389,900","3239 Spearhead WayRock Springs, WY 82901"
4,"$254,000","522 Emerald StreetRock Springs, WY 82901"
5,"$252,900","1302 Veteran's DriveRock Springs, WY 82901"
6,"$210,000","1021 Cypress CirRock Springs, WY 82901"
7,"$209,000","913 Madison DrRock Springs, WY 82901"
8,"$199,900","1344 Teton StreetRock Springs, WY 82901"
9,"$196,900","4 Minnies LaneRock Springs, WY 82901"
10,"$1,700,000","9339 Sd 26900Rocksprings, TX 78880"
11,"$1,100,000","RR674P13 Hwy 377Rocksprings, TX 78880"
12,"$1,080,000","0 Hwy 41Rocksprings, TX 78880"
13,"$908,350","9339 Sd 26900Rocksprings, TX 78880"
14,"$905,000","CR450 Hwy 377Rocksprings, TX 78880"
15,"$695,000","Cr 240 Cr 240Rocksprings, TX 78880"
16,"$605,000","RR674 Hwy 377Rocksprings, TX 78880"
17,"$559,805","9770a Sd 26900Rocksprings, TX 78880"
18,"$504,000","Lot17 CR 2630Rocksprings, TX 78880"
19,"$410,000","Tr12,16 CR 520Rocksprings, TX 78880"
20,"$299,900","32575 S Shadow Mountain RoadBlack Canyon City, AZ 85324"
21,"$167,500","32750 S Shangrila DriveBlack Canyon City, AZ 85324"
22,"$150,000","0000 Black Canyon HighwayBlack Canyon City, AZ 85324"
23,"$129,500","34775 S CHOLLA DriveBlack Canyon City, AZ 85324"
24,"$129,000","33403 S. HA-WA-SI TERRACEBLACK CANYON CITY, AZ 85324"
25,"$80,000","34263 S Bertha StreetBlack Canyon City, AZ 85324"
26,"$77,900","33160 S Canyon RoadBlack Canyon City, AZ 85324"
27,"$70,500","19421 E Todd Evans RoadBlack Canyon City, AZ 85324"
28,"$70,000","18688 E AGUA VistaBlack Canyon City, AZ 85324"
29,"$67,500","50600 N Old Black Canyon RoadBlack Canyon City, AZ 85324"
30,"$54,900","20101 E SQUAW VALLEY RoadBlack Canyon City, AZ 85324"
31,"$45,600","33259 S Canyon RoadBlack Canyon City, AZ 85324"
32,"$40,000","34558 S ROADRUNNER RDBlack Canyon City, AZ 85324"
33,"$30,000","19260 E Scenic Loop RoadBlack Canyon City, AZ 85324"
34,"$29,000","19000 E MAREN AvenueBlack Canyon City, AZ 85324"
35,"$28,995","19350 E SAGUARO DriveBlack Canyon City, AZ 85324"
36,"$15,000","20650 E Amethyst PlaceBlack Canyon City, AZ 85324"
